  QueueTimes | ServiceTimes | SojournTimes
       0.125 |        0.661 |        0.786
       0.171 |        0.438 |        0.609
       0.384 |        0.751 |        1.135
       0.156 |        0.429 |        0.585
       0.146 |        1.298 |        1.444
       0.988 |        1.520 |        2.508
       0.168 |        0.889 |        1.058
       0.384 |        0.446 |        0.830
       0.144 |        0.479 |        0.623
       0.147 |        0.543 |        0.689
       0.178 |        0.502 |        0.679
       0.572 |        0.384 |        0.956
       0.172 |        0.498 |        0.670
       0.184 |        0.734 |        0.917
       0.184 |        1.531 |        1.715
       0.656 |        2.039 |        2.696
       0.180 |        0.543 |        0.724
       0.197 |        3.109 |        3.306
       0.166 |        1.557 |        1.722
       0.189 |        0.650 |        0.838
       0.836 |        0.602 |        1.438
       0.378 |        1.958 |        2.336
       0.102 |        0.508 |        0.610
       0.255 |        0.644 |        0.899
       0.126 |        0.401 |        0.527
       0.175 |        0.892 |        1.067
       0.701 |        1.192 |        1.893
       0.216 |        2.396 |        2.612
       1.770 |        2.393 |        4.162
       0.152 |        2.306 |        2.458
       0.372 |        0.901 |        1.273
       0.178 |        0.527 |        0.706
       0.184 |        0.736 |        0.919
       0.184 |        0.701 |        0.884
       0.160 |        1.786 |        1.946
       0.183 |        1.250 |        1.433
       0.182 |        1.197 |        1.379
       0.178 |        1.547 |        1.725
       0.183 |        1.911 |        2.094
       1.350 |        1.042 |        2.393
       0.153 |        0.522 |        0.675
       0.168 |        1.461 |        1.629
       0.185 |        1.882 |        2.067
       1.798 |        0.368 |        2.166
       0.118 |        0.561 |        0.680
       0.164 |        0.997 |        1.161
       0.478 |        0.460 |        0.938
       0.168 |        0.400 |        0.569
       0.541 |        1.310 |        1.851
       0.218 |        0.468 |        0.686
       0.381 |        0.451 |        0.833
       0.172 |        2.082 |        2.255
       0.627 |        1.235 |        1.862
       0.865 |        1.482 |        2.347
       2.250 |        0.295 |        2.545
       1.264 |        0.377 |        1.641
       0.162 |        0.472 |        0.634
       0.167 |        0.939 |        1.106
       0.182 |        1.209 |        1.392
       1.152 |        0.678 |        1.830
       0.244 |        1.070 |        1.314
       0.180 |        1.379 |        1.559
       1.379 |        0.689 |        2.068
       0.869 |        0.863 |        1.732
       0.159 |        1.121 |        1.280
       0.774 |        0.317 |        1.091
       0.935 |        0.470 |        1.406
       0.151 |        0.904 |        1.054
       0.185 |        0.438 |        0.623
       0.182 |        0.748 |        0.930
       0.181 |        1.728 |        1.909
       1.545 |        1.184 |        2.729
       2.154 |        0.384 |        2.538
       1.609 |        1.083 |        2.692
       0.376 |        0.765 |        1.141
       0.171 |        1.249 |        1.420
       0.185 |        0.502 |        0.687
       0.183 |        0.618 |        0.800
       0.210 |        0.544 |        0.754
       0.175 |        0.597 |        0.772
       0.535 |        1.096 |        1.632
       0.199 |        1.022 |        1.221
       0.178 |        0.566 |        0.745
       0.185 |        0.413 |        0.598
       0.511 |        0.660 |        1.171
       0.176 |        1.087 |        1.263
       0.183 |        0.514 |        0.697
       0.515 |        0.575 |        1.090
       0.344 |        0.815 |        1.159
       0.148 |        0.624 |        0.772
       0.180 |        2.663 |        2.844
       0.195 |        2.344 |        2.539
       0.183 |        0.456 |        0.639
       0.181 |        1.566 |        1.747
       0.187 |        2.977 |        3.164
       0.181 |        0.412 |        0.593
       0.184 |        1.127 |        1.311
       0.168 |        2.128 |        2.295
       0.176 |        0.489 |        0.665
       0.279 |        1.388 |        1.667
       0.111 |        0.445 |        0.555
       0.170 |        0.661 |        0.830
       0.180 |        1.130 |        1.310
       0.178 |        0.676 |        0.854
       0.168 |        1.905 |        2.074
       0.184 |        0.741 |        0.924
       0.182 |        0.742 |        0.924
       0.187 |        1.633 |        1.820
       0.188 |        0.822 |        1.010
       0.459 |        2.803 |        3.262
       0.282 |        0.820 |        1.102
       0.137 |        1.632 |        1.769
       0.812 |        0.428 |        1.240
       0.173 |        1.378 |        1.551
       1.206 |        0.901 |        2.107
       0.177 |        0.908 |        1.085
       0.308 |        0.453 |        0.762
       0.175 |        0.561 |        0.737
       0.183 |        2.316 |        2.500
       1.851 |        0.842 |        2.693
       0.620 |        0.530 |        1.150
       0.164 |        0.400 |        0.564
       0.185 |        1.196 |        1.381
       0.185 |        0.445 |        0.630
       0.184 |        2.052 |        2.236
       0.184 |        1.267 |        1.451
       0.182 |        2.286 |        2.468
       0.186 |        0.338 |        0.524
       0.184 |        1.264 |        1.448
       0.185 |        2.249 |        2.434
       0.602 |        0.363 |        0.966
       0.176 |        1.044 |        1.220
       1.053 |        0.172 |        1.226
       0.120 |        0.423 |        0.544
       0.179 |        1.729 |        1.908
       0.833 |        1.109 |        1.942
       0.180 |        0.754 |        0.934
       0.176 |        0.997 |        1.173
       0.184 |        1.849 |        2.033
       0.654 |        0.607 |        1.261
       1.137 |        1.914 |        3.051
       0.137 |        1.358 |        1.495
       1.169 |        0.457 |        1.625
       0.172 |        0.651 |        0.823
       0.239 |        0.495 |        0.734
       0.120 |        2.503 |        2.622
       1.131 |        0.592 |        1.723
       0.161 |        1.498 |        1.658
       1.247 |        1.138 |        2.384
       0.167 |        2.491 |        2.658
       1.447 |        0.866 |        2.313
       1.298 |        0.858 |        2.156
       1.571 |        1.702 |        3.273
       0.179 |        2.326 |        2.505
       1.092 |        1.285 |        2.376
       1.573 |        0.515 |        2.088
       0.971 |        0.634 |        1.605
       0.181 |        2.815 |        2.995
       1.991 |        0.897 |        2.888
       0.179 |        1.513 |        1.691
       0.189 |        0.965 |        1.153
       0.187 |        1.282 |        1.469
       1.281 |        0.400 |        1.681
       1.386 |        0.536 |        1.922
       1.160 |        1.932 |        3.092
       1.087 |        1.052 |        2.140
       0.165 |        0.337 |        0.502
       0.187 |        0.246 |        0.433
       0.162 |        0.592 |        0.754
       0.179 |        2.845 |        3.024
       0.183 |        0.860 |        1.043
       0.188 |        2.597 |        2.785
       0.175 |        0.465 |        0.639
       0.129 |        0.650 |        0.779
       0.171 |        0.392 |        0.562
       0.165 |        0.850 |        1.015
       0.179 |        0.960 |        1.140
       0.153 |        1.237 |        1.390
