  QueueTimes | ServiceTimes | SojournTimes
     146.356 |        1.104 |      147.460
     147.335 |        0.841 |      148.176
     144.390 |        1.819 |      146.208
     145.841 |        0.623 |      146.465
     146.162 |        0.628 |      146.790
     146.765 |        1.227 |      147.993
     146.569 |        1.514 |      148.083
     147.664 |        0.926 |      148.590
     148.341 |        0.380 |      148.721
     148.575 |        0.463 |      149.038
     150.426 |        0.646 |      151.072
     149.657 |        1.946 |      151.604
     149.216 |        1.046 |      150.262
     149.683 |        0.554 |      150.237
     149.875 |        0.948 |      150.823
     150.767 |        0.296 |      151.063
     151.156 |        0.402 |      151.558
     151.161 |        1.414 |      152.575
     151.968 |        0.780 |      152.748
     150.984 |        0.238 |      151.222
     149.456 |        0.168 |      149.624
     149.423 |        0.279 |      149.701
     148.433 |        1.977 |      150.410
     149.052 |        0.520 |      149.571
     149.149 |        1.742 |      150.891
     149.865 |        0.252 |      150.117
     150.069 |        0.475 |      150.544
     149.749 |        0.264 |      150.013
     148.613 |        0.578 |      149.191
     148.180 |        0.648 |      148.828
     148.393 |        0.909 |      149.302
     149.155 |        0.245 |      149.401
     148.768 |        1.312 |      150.080
     149.652 |        0.607 |      150.259
     149.789 |        1.972 |      151.761
     151.344 |        0.926 |      152.270
     151.972 |        1.462 |      153.435
     151.546 |        0.404 |      151.950
     151.852 |        1.471 |      153.323
     153.213 |        0.315 |      153.528
     151.189 |        0.330 |      151.519
     151.160 |        0.278 |      151.438
     149.475 |        0.279 |      149.754
     148.762 |        0.250 |      149.013
     148.405 |        0.932 |      149.337
     147.805 |        0.525 |      148.330
     148.173 |        0.235 |      148.408
     146.881 |        1.079 |      147.960
     147.777 |        1.162 |      148.938
     147.215 |        0.414 |      147.629
     146.847 |        1.060 |      147.907
     147.664 |        0.981 |      148.644
     147.609 |        0.354 |      147.962
     147.585 |        0.714 |      148.299
     148.070 |        0.314 |      148.384
     146.327 |        1.294 |      147.622
     148.002 |        1.289 |      149.291
     148.505 |        0.242 |      148.747
     147.875 |        0.626 |      148.500
     148.033 |        0.315 |      148.348
     147.732 |        0.692 |      148.424
     147.299 |        1.624 |      148.923
     148.475 |        0.580 |      149.055
     148.425 |        0.326 |      148.750
     148.512 |        0.704 |      149.216
     149.164 |        0.683 |      149.847
     149.277 |        0.544 |      149.820
     148.426 |        0.761 |      149.188
     148.581 |        0.305 |      148.886
     148.661 |        0.300 |      148.961
     147.316 |        0.280 |      147.596
     146.252 |        0.315 |      146.568
     145.870 |        0.317 |      146.187
     144.552 |        0.322 |      144.874
     144.341 |        0.549 |      144.890
     144.645 |        0.376 |      145.021
     143.905 |        1.616 |      145.521
     145.390 |        1.120 |      146.510
