Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:55          8     52.28      0.00     15.23      0.00      0.00     32.49
18:33:55         10     56.72      0.00     11.44      0.00      0.00     31.84
18:33:55         12     54.79      0.00     11.70      0.00      0.00     33.51
18:33:55         14     55.39      0.00     13.73      0.00      0.00     30.88
18:33:55         16     54.82      0.00     12.69      0.00      0.00     32.49
18:33:55         18     55.50      0.00     12.04      0.00      0.00     32.46
18:33:55         20     54.45      0.00     10.99      0.00      0.00     34.55
18:33:55         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:57          0     55.50      0.00     12.00      0.00      0.00     32.50
18:33:57          2     57.64      0.00     10.84      0.00      0.00     31.53
18:33:57          4     55.21      0.00     10.94      0.00      0.00     33.85
18:33:57          6     54.37      0.00     14.08      0.00      0.00     31.55
18:33:57          8     54.73      0.00     12.94      0.00      0.00     32.34
18:33:57         10     56.93      0.00     10.89      0.00      0.00     32.18
18:33:57         12     50.52      0.00     15.98      0.00      0.00     33.51
18:33:57         14     55.61      0.00     11.22      0.00      0.00     33.16
18:33:57         16     56.59      0.00     10.73      0.00      0.00     32.68
18:33:57         18     54.17      0.00     11.98      0.00      0.00     33.85
18:33:57         20     53.37      0.00     12.44      0.00      0.00     34.20
18:33:57         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:59          0     54.55      0.00     13.64      0.00      0.00     31.82
18:33:59          2     54.08      0.00     13.78      0.00      0.00     32.14
18:33:59          4     56.12      0.00     11.22      0.00      0.00     32.65
18:33:59          6     57.50      0.00     11.50      0.00      0.00     31.00
18:33:59          8     55.50      0.00     12.50      0.00      0.00     32.00
18:33:59         10     54.92      0.00     11.92      0.00      0.00     33.16
18:33:59         12     54.40      0.00     13.47      0.00      0.00     32.12
18:33:59         14     56.41      0.00     12.82      0.00      0.00     30.77
18:33:59         16     55.28      0.00     13.07      0.00      0.00     31.66
18:33:59         18     55.17      0.00     13.79      0.00      0.00     31.03
18:33:59         20     54.50      0.00     14.00      0.00      0.00     31.50
18:33:59         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:01          0     54.08      0.00     13.27      0.00      0.00     32.65
18:34:01          2     54.95      0.00     13.86      0.00      0.00     31.19
18:34:01          4     54.12      0.00     12.37      0.00      0.00     33.51
18:34:01          6     56.19      0.00     11.34      0.00      0.00     32.47
18:34:01          8     54.12      0.00     12.89      0.00      0.00     32.99
18:34:01         10     52.79      0.00     14.21      0.00      0.00     32.99
18:34:01         12     53.57      0.00     13.78      0.00      0.00     32.65
18:34:01         14     57.87      0.00      9.64      0.00      0.00     32.49
18:34:01         16     51.49      0.00     16.34      0.00      0.00     32.18
18:34:01         18     54.15      0.00     14.63      0.00      0.00     31.22
18:34:01         20     56.85      0.00     11.17      0.00      0.00     31.98
18:34:01         22      0.00      0.00      0.00      0.00      0.00    100.00

18:34:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:03          0     56.50      0.00     12.50      0.00      0.00     31.00
18:34:03          2     50.53      0.00     16.32      0.00      0.00     33.16
18:34:03          4     57.44      0.00     11.28      0.00      0.00     31.28
18:34:03          6     52.63      0.00     14.21      0.00      0.00     33.16
18:34:03          8     54.08      0.00     14.29      0.00      0.00     31.63
18:34:03         10     54.17      0.00     13.02      0.00      0.00     32.81
18:34:03         12     56.41      0.00     12.31      0.00      0.00     31.28
18:34:03         14     55.00      0.00     13.50      0.00      0.00     31.50
18:34:03         16     55.67      0.00     11.86      0.00      0.00     32.47
18:34:03         18     53.30      0.00     14.21      0.00      0.00     32.49
18:34:03         20     54.27      0.00     14.07      0.00      0.00     31.66
18:34:03         22      8.59      0.00      0.51      0.00      0.00     90.91

18:34:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:05          0     55.98      0.00     12.92      0.00      0.00     31.10
18:34:05          2     52.55      0.00     15.31      0.00      0.00     32.14
18:34:05          4     55.61      0.00     12.24      0.00      0.00     32.14
18:34:05          6     54.40      0.00     12.95      0.00      0.00     32.64
18:34:05          8     56.93      0.00     11.88      0.00      0.00     31.19
18:34:05         10     52.74      0.00     14.93      0.00      0.00     32.34
18:34:05         12     54.00      0.00     14.00      0.00      0.00     32.00
18:34:05         14     56.28      0.00     12.06      0.00      0.00     31.66
18:34:05         16     51.01      0.00     17.17      0.00      0.00     31.82
18:34:05         18     55.45      0.00     12.38      0.00      0.00     32.18
18:34:05         20     52.79      0.00     14.21      0.00      0.00     32.99
18:34:05         22      0.00      0.00      0.00      0.00      0.00    100.00

18:34:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:07          0     53.77      0.00     15.08      0.00      0.00     31.16
18:34:07          2     54.15      0.00     15.61      0.00      0.00     30.24
18:34:07          4     53.73      0.00     13.93      0.00      0.00     32.34
18:34:07          6     53.81      0.00     13.20      0.00      0.00     32.99
18:34:07          8     55.78      0.00     11.56      0.00      0.00     32.66
18:34:07         10     55.61      0.00     12.24      0.00      0.00     32.14
18:34:07         12     53.61      0.00     13.92      0.00      0.00     32.47
18:34:07         14     58.33      0.00     11.27      0.00      0.00     30.39
18:34:07         16     56.28      0.00     11.06      0.00      0.00     32.66
18:34:07         18     55.10      0.00     12.76      0.00      0.00     32.14
18:34:07         20     55.67      0.00     11.34      0.00      0.00     32.99
18:34:07         22      0.00      0.00      0.00      0.00      0.00    100.00

18:34:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:09          0     56.72      0.00     12.44      0.00      0.00     30.85
18:34:09          2     52.79      0.00     14.72      0.00      0.00     32.49
18:34:09          4     53.61      0.00     13.92      0.00      0.00     32.47
18:34:09          6     53.50      0.00     15.00      0.00      0.00     31.50
18:34:09          8     56.28      0.00     12.06      0.00      0.00     31.66
18:34:09         10     54.82      0.00     12.18      0.00      0.00     32.99
18:34:09         12     56.72      0.00     11.94      0.00      0.00     31.34
18:34:09         14     56.19      0.00     10.82      0.00      0.00     32.99
18:34:09         16     57.00      0.00     10.50      0.00      0.00     32.50
18:34:09         18     56.06      0.00     12.12      0.00      0.00     31.82
18:34:09         20     54.92      0.00     11.92      0.00      0.00     33.16
18:34:09         22      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:          0     54.79      0.00     13.17      0.00      0.00     32.04
Average:          2     54.36      0.00     13.67      0.00      0.00     31.97
Average:          4     54.47      0.00     13.17      0.00      0.00     32.37
Average:          6     54.94      0.00     13.06      0.00      0.00     32.00
Average:          8     54.48      0.00     13.26      0.00      0.00     32.26
Average:         10     54.43      0.00     12.88      0.00      0.00     32.69
Average:         12     54.65      0.00     13.27      0.00      0.00     32.07
Average:         14     55.31      0.00     12.39      0.00      0.00     32.30
Average:         16     54.11      0.00     13.53      0.00      0.00     32.36
Average:         18     54.61      0.00     13.01      0.00      0.00     32.37
Average:         20     54.42      0.00     13.20      0.00      0.00     32.38
Average:         22      0.28      0.00      0.02      0.00      0.00     99.70
