  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       9.000 |        9.763 |        1.348 |       11.111
      11.000 |        9.799 |        1.513 |       11.312
       9.000 |        9.868 |        0.602 |       10.470
      10.000 |        9.669 |        0.956 |       10.625
       6.000 |        9.040 |        0.424 |        9.464
       9.000 |        9.637 |        2.205 |       11.842
       9.000 |        9.609 |        2.289 |       11.898
       8.000 |        9.683 |        1.385 |       11.068
       8.000 |        9.546 |        2.389 |       11.935
       9.000 |        9.584 |        0.368 |        9.953
       6.000 |        9.622 |        0.517 |       10.140
       4.000 |        9.578 |        2.151 |       11.730
       6.000 |        9.607 |        0.573 |       10.180
      11.000 |        9.818 |        0.820 |       10.638
      10.000 |        9.567 |        0.681 |       10.247
      11.000 |        9.020 |        2.047 |       11.067
       8.000 |        9.826 |        2.131 |       11.957
       8.000 |        9.840 |        0.476 |       10.316
       8.000 |        9.702 |        0.638 |       10.340
       9.000 |        9.465 |        0.424 |        9.890
      10.000 |        9.732 |        1.037 |       10.768
      11.000 |        9.441 |        0.342 |        9.783
       8.000 |        9.596 |        2.463 |       12.059
      10.000 |        9.604 |        2.015 |       11.619
      10.000 |        9.843 |        1.151 |       10.995
      13.000 |        9.663 |        0.461 |       10.124
       6.000 |        9.877 |        1.726 |       11.604
      14.000 |        9.875 |        0.288 |       10.163
       7.000 |        9.986 |        1.278 |       11.264
       4.000 |        9.542 |        1.368 |       10.911
       9.000 |        9.833 |        0.685 |       10.518
       6.000 |        9.451 |        0.526 |        9.977
       7.000 |        9.651 |        1.364 |       11.015
       8.000 |        9.553 |        1.084 |       10.637
       9.000 |        9.283 |        0.817 |       10.100
       9.000 |        9.623 |        0.361 |        9.984
       6.000 |        9.918 |        0.358 |       10.276
      14.000 |        9.562 |        1.599 |       11.162
      12.000 |        9.804 |        2.268 |       12.072
       6.000 |        9.998 |        0.310 |       10.308
      11.000 |        9.281 |        2.052 |       11.333
      12.000 |        9.465 |        2.606 |       12.071
       7.000 |        9.521 |        1.879 |       11.400
       8.000 |       10.293 |        0.437 |       10.730
       6.000 |        9.943 |        1.656 |       11.599
       9.000 |        9.339 |        2.516 |       11.855
       7.000 |       10.430 |        0.401 |       10.832
       6.000 |       10.435 |        0.742 |       11.178
      10.000 |       10.063 |        1.540 |       11.603
       7.000 |       10.659 |        0.680 |       11.339
      12.000 |       10.659 |        0.427 |       11.086
      15.000 |       10.621 |        0.757 |       11.378
      10.000 |       10.732 |        0.451 |       11.183
       8.000 |       10.267 |        1.893 |       12.159
       9.000 |       10.646 |        0.755 |       11.401
       7.000 |       10.787 |        0.507 |       11.294
      12.000 |       10.442 |        2.654 |       13.095
       8.000 |       11.056 |        0.493 |       11.549
      10.000 |       11.111 |        0.408 |       11.519
      13.000 |       11.181 |        0.436 |       11.617
       6.000 |       10.960 |        1.311 |       12.271
